Genes	healthy30.1	healthy30	healthy12	healthy18.1	healthy18	healthy24.1	healthy12.1	healthy24	zero-counter
AT1G78460	6206	7120	585	581	853	703	1854	1033	0
AT1G78476	1	1	0	5	13	0	6	5	2
AT1G78480	3	7	5	8	16	7	20	5	0
AT1G78490	70	49	205	216	402	220	224	529	0
AT1G78500	0	0	0	1	2	0	0	0	6
AT1G78510	798	596	921	2380	4475	669	2153	1065	0
AT1G78520	0	0	0	1	2	0	0	0	6
AT1G78530	25	6	18	27	35	10	22	9	0
AT1G78540	245	174	90	112	255	90	249	162	0
AT1G78550	218	268	114	97	170	189	258	300	0
AT1G78560	355	370	273	311	689	301	657	442	0
AT1G78570	558	561	2705	2126	4597	1922	3310	3474	0
AT1G78580	441	416	661	1355	2710	317	1037	509	0
AT1G78590	70	49	72	60	152	121	154	177	0
AT1G78600	279	193	52	13	32	296	114	495	0
AT1G78610	234	204	255	257	531	187	461	282	0
AT1G78620	374	254	540	427	1074	565	1072	1154	0
AT1G78630	5814	5599	2296	3121	8100	1445	4450	1691	0
AT1G78650	54	44	64	32	108	16	112	38	0
AT1G78660	541	590	342	302	585	429	1068	618	0
AT1G78670	3578	4720	1287	1279	1903	1204	3428	1732	0
AT1G78680	1374	1555	1719	948	1672	2156	3949	2655	0
AT1G78690	157	218	103	146	226	61	148	86	0
AT1G78700	402	741	160	207	366	198	379	261	0
AT1G78720	0	0	1	1	3	1	0	1	3
AT1G78730	89	92	71	82	142	46	161	45	0
AT1G78750	54	86	30	24	49	13	64	16	0
AT1G78760	1	0	1	5	3	2	3	4	1
AT1G78770	9	6	44	25	59	13	56	19	0
AT1G78780	107	110	15	7	19	8	49	20	0
AT1G78790	133	167	90	101	209	82	202	103	0
AT1G78800	310	329	236	233	446	193	520	328	0
AT1G78810	166	141	77	88	158	64	185	93	0
AT1G78815	0	1	0	0	0	0	0	0	7
AT1G78820	449	257	315	331	661	245	399	180	0
AT1G78830	6911	6200	1390	1517	2816	1679	2111	3182	0
AT1G78850	1536	1379	446	363	1216	827	509	1087	0
AT1G78860	4	3	2	1	2	2	1	4	0
AT1G78870	1465	1634	667	753	1246	704	1533	1277	0
AT1G78880	954	1221	345	375	680	231	646	362	0
AT1G78890	527	689	317	335	643	232	759	375	0
AT1G78895	619	779	101	92	142	82	216	112	0
AT1G78900	7211	7282	5170	5380	11767	4192	10145	6884	0
AT1G78910	224	295	66	53	113	37	127	83	0
AT1G78915	622	652	504	743	1474	346	1166	475	0
AT1G78920	2098	2282	1008	880	1933	746	1944	1431	0
AT1G78922	12	7	10	10	20	11	8	23	0
AT1G78930	173	146	19	17	33	25	41	71	0
AT1G78940	24	7	27	45	57	12	56	22	0
AT1G78950	12	4	8	4	26	1	8	1	0
AT1G78955	5	2	4	6	12	10	8	10	0
AT1G78960	431	583	137	155	271	93	350	115	0
AT1G78970	327	376	71	149	289	21	45	72	0
AT1G78990	16	5	15	17	30	4	52	0	1
AT1G78995	170	255	367	435	852	70	782	57	0
AT1G79000	2683	3148	1189	1538	3121	897	2520	1396	0
AT1G79010	1354	1163	526	616	1323	442	1259	780	0
AT1G79020	535	543	148	205	338	134	340	178	0
AT1G79030	203	188	190	196	416	112	363	181	0
AT1G79040	49274	69950	33021	56399	107470	42902	76314	55397	0
AT1G79050	512	416	452	510	1055	424	1008	769	0
AT1G79060	55	23	25	90	162	43	76	34	0
AT1G79070	48	47	34	30	55	22	51	23	0
AT1G79080	247	195	161	139	407	91	329	156	0
AT1G79090	1307	1213	772	923	1790	440	1928	820	0
AT1G79100	0	1	0	0	0	0	0	1	6
AT1G79103	0	0	1	1	0	0	0	0	6
AT1G79110	513	198	1008	673	1177	398	2583	788	0
AT1G79120	4	4	3	5	11	3	14	12	0
AT1G79130	0	1	0	0	0	0	0	0	7
AT1G79150	305	187	139	121	328	78	228	147	0
AT1G79160	772	751	144	291	527	173	362	165	0
AT1G79170	0	2	7	16	22	1	7	3	1
AT1G79180	2	3	0	1	4	2	2	0	2
AT1G79190	956	1090	251	251	513	232	578	412	0
AT1G79200	173	138	67	98	151	58	166	44	0
AT1G79210	484	435	349	332	770	329	704	524	0
AT1G79220	112	74	21	37	87	15	60	30	0
AT1G79230	1388	1195	1233	1221	2976	759	2510	1436	0
AT1G79260	45	37	42	39	104	40	80	65	0
AT1G79270	838	664	468	1967	3529	455	894	631	0
AT1G79280	2587	3277	1348	1508	3382	1055	2632	1605	0
AT1G79310	5	2	1	1	0	12	5	4	1
AT1G79320	0	0	1	0	0	1	1	0	5
AT1G79330	2	8	3	0	2	3	11	14	1
AT1G79340	1910	2602	1015	981	2103	925	2288	1545	0
AT1G79350	1325	1456	607	597	1305	391	1240	675	0
AT1G79360	26	148	1	0	1	1	4	5	1
AT1G79380	1713	2049	1276	984	2018	1443	2706	2724	0
AT1G79390	269	224	92	99	178	69	174	117	0
AT1G79400	0	0	4	0	1	0	7	4	4
AT1G79410	352	258	283	359	745	36	593	77	0
AT1G79420	3	6	12	9	16	3	3	15	0
AT1G79430	309	284	141	257	578	121	301	259	0
AT1G79440	3320	4564	718	225	691	257	1188	315	0
AT1G79450	17	15	25	4	7	46	51	114	0
AT1G79460	90	54	201	55	135	320	487	338	0
AT1G79470	181	146	60	30	103	84	139	173	0
AT1G79480	2	0	7	1	7	2	0	1	2
AT1G79490	273	233	48	58	123	70	126	117	0
AT1G79500	115	79	96	75	184	66	152	91	0
AT1G79510	778	529	1132	1487	2938	600	2449	875	0
AT1G79520	271	232	163	730	1335	271	307	381	0
AT1G79530	83	85	41	39	104	23	81	57	0
AT1G79540	148	125	71	75	167	64	152	110	0
AT1G79550	1324	1196	1556	1692	4353	1495	2837	2773	0
AT1G79560	695	620	545	538	1504	348	1215	575	0
AT1G79570	1255	1212	652	809	1721	580	1357	912	0
AT1G79590	940	1000	236	246	454	246	552	452	0
AT1G79600	1764	1649	1361	3234	6461	3215	3075	4905	0
AT1G79610	146	130	256	264	508	196	586	397	0
AT1G79620	131	186	104	62	130	56	190	124	0
AT1G79630	705	349	65	115	157	44	158	73	0
AT1G79640	425	399	163	147	314	46	350	104	0
AT1G79650	510	649	193	173	382	141	392	224	0
AT1G79660	174	217	120	115	208	124	239	161	0
AT1G79670	923	1144	389	290	448	405	897	678	0
AT1G79680	27	75	40	13	28	78	110	127	0
AT1G79690	1097	1175	811	826	1805	603	1686	1249	0
AT1G79700	3556	4413	62	92	201	50	100	44	0
AT1G79710	152	249	77	63	113	74	150	94	0
AT1G79720	831	684	291	249	532	243	552	355	0
AT1G79730	1145	999	385	438	795	304	973	502	0
AT1G79740	928	967	377	403	730	302	836	399	0
AT1G79750	16248	11933	3153	3565	6731	1467	7514	2437	0
AT1G79760	2	12	9	12	14	2	7	8	0
AT1G79770	35	29	8	43	73	15	25	29	0
AT1G79780	4	5	5	6	10	8	13	15	0
AT1G79790	722	955	343	499	865	434	774	547	0
AT1G79800	0	1	0	0	0	0	1	0	6
AT1G79810	318	313	231	281	514	165	532	237	0
AT1G79820	38	14	47	61	109	47	86	74	0
AT1G79830	4568	5469	1468	1562	3079	1054	3173	1698	0
AT1G79840	15	14	40	14	45	22	44	13	0
AT1G79850	2435	1917	1473	2062	5152	849	3351	1136	0
AT1G79870	954	961	702	683	1265	589	1680	951	0
AT1G79880	767	1021	212	255	412	123	408	196	0
AT1G79890	10	13	7	15	16	8	22	4	0
AT1G79900	1	15	8	7	11	3	28	12	0
AT1G79910	119	88	23	17	31	12	30	22	0
AT1G79915	6	6	2	2	4	2	0	1	1
AT1G79920	2035	1884	1209	1282	3066	1250	2258	1923	0
AT1G79930	2217	2603	1101	960	2332	621	2110	987	0
AT1G79940	1381	1404	912	701	1577	501	1646	892	0
AT1G79950	668	778	231	251	467	186	446	280	0
AT1G79960	30	22	17	13	35	10	48	28	0
AT1G79970	1082	1038	214	292	597	232	399	288	0
AT1G79985	334	325	149	159	313	120	303	190	0
AT1G79990	945	750	804	633	1456	533	1701	795	0
AT1G80000	1161	1035	479	535	988	316	961	568	0
AT1G80010	685	621	320	395	796	259	791	426	0
AT1G80030	947	901	731	1121	2558	565	1635	706	0
AT1G80040	1325	1314	437	442	884	370	935	606	0
AT1G80050	109	75	91	118	180	30	125	65	0
AT1G80060	32	46	9	13	28	30	37	17	0
AT1G80070	6267	6810	3023	3586	7484	2411	5899	4241	0
AT1G80080	42	24	14	5	16	10	24	14	0
AT1G80110	36	54	37	35	76	44	95	58	0
AT1G80120	22	53	71	75	128	82	219	122	0
AT1G80130	162	350	986	3125	3122	1426	3024	2039	0
AT1G80133	0	0	0	0	0	1	0	0	7
AT1G80150	161	123	34	17	57	47	72	72	0
AT1G80160	397	1211	1	2	0	3	7	3	1
AT1G80165	4	30	0	0	3	1	6	2	2
AT1G80170	110	98	44	38	93	50	106	58	0
AT1G80180	7094	7662	621	940	1520	644	1435	1027	0
AT1G80190	582	984	32	38	93	20	75	31	0
AT1G80200	6	13	3	2	6	1	3	0	1
AT1G80210	445	707	230	223	412	220	526	326	0
AT1G80230	670	722	309	332	732	259	641	431	0
AT1G80240	2	0	0	0	1	0	0	0	6
AT1G80245	140	124	31	27	38	18	76	39	0
AT1G80260	1076	1048	428	590	1097	297	896	445	0
AT1G80270	202	79	65	59	112	65	167	128	0
AT1G80280	88	147	289	177	479	26	482	29	0
AT1G80290	232	213	137	92	201	108	313	222	0
AT1G80300	2765	4563	1017	1652	2673	852	2333	1519	0
AT1G80310	536	817	243	260	420	252	541	399	0
AT1G80320	150	140	62	38	73	43	119	53	0
AT1G80340	2	0	2	2	16	0	2	0	3
AT1G80350	480	443	163	170	364	153	326	177	0
AT1G80360	696	665	407	447	963	398	835	594	0
AT1G80370	2	2	3	4	11	1	6	7	0
AT1G80380	3741	3981	4076	5393	11650	2194	8203	3038	0
AT1G80390	2	0	1	0	1	0	0	0	5
AT1G80400	399	417	247	240	535	191	520	287	0
AT1G80410	3359	4565	897	1065	2363	636	1736	1135	0
AT1G80420	943	1301	164	141	277	328	312	561	0
AT1G80440	2008	4180	146	256	437	843	318	1674	0
AT1G80450	6	17	12	3	7	9	32	30	0
AT1G80460	849	1076	663	582	1250	780	1144	1448	0
AT1G80480	1515	1557	878	787	1776	327	1764	492	0
AT1G80490	1352	1075	577	547	1032	545	869	833	0
AT1G80500	314	309	324	288	697	232	650	368	0
AT1G80510	182	232	173	141	273	187	302	389	0
AT1G80520	27	28	18	30	65	11	35	21	0
AT1G80530	565	579	418	349	700	167	766	237	0
AT1G80540	0	0	1	0	1	0	0	0	6
AT1G80550	556	554	129	173	349	94	323	137	0
AT1G80555	5	8	4	5	18	0	13	9	1
AT1G80560	1330	1187	242	255	613	101	457	154	0
AT1G80570	172	310	33	30	43	50	115	83	0
AT1G80600	1251	1261	1026	1075	2538	927	2103	1493	0
AT1G80610	80	102	87	80	145	60	165	82	0
AT1G80620	648	511	122	131	375	104	268	178	0
AT1G80630	194	152	101	139	221	83	236	116	0
AT1G80640	1009	573	403	445	910	172	1035	233	0
AT1G80650	257	281	110	144	264	114	278	168	0
AT1G80660	2	0	2	2	2	0	1	0	3
AT1G80670	799	961	296	218	525	225	577	418	0
AT1G80680	1242	1396	416	527	986	344	899	606	0
AT1G80690	13	7	43	37	73	12	35	19	0
AT1G80700	78	99	37	42	88	26	87	53	0
AT1G80710	4	3	17	2	26	5	14	9	0
AT1G80720	48	20	19	25	49	21	39	36	0
AT1G80730	0	0	1	0	1	0	0	1	5
